type;temps;clock;fen
debut;1637181442360932;1732;0
fenetre;1637181442361688;1822;1
fenetre;1637181442361882;1859;2
fenetre;1637181442362020;1874;3
fenetre;1637181442362067;1912;4
fenetre;1637181442362192;1921;5
fenetre;1637181442362224;1934;6
fenetre;1637181442362237;1944;7
fenetre;1637181442362303;2000;8
fenetre;1637181442362407;2010;9
fenetre;1637181442362426;2017;10
fenetre;1637181442362463;2026;11
fenetre;1637181442362491;2044;12
fenetre;1637181442362514;2055;13
fenetre;1637181442362531;2063;14
fenetre;1637181442362546;2071;15
fenetre;1637181442362672;2188;16
fenetre;1637181442362687;2201;17
fenetre;1637181442362711;2211;18
fenetre;1637181442362740;2220;19
fenetre;1637181442362769;2229;20
fenetre;1637181442362793;2238;21
fenetre;1637181442362824;2247;22
fenetre;1637181442362850;2255;23
fenetre;1637181442362879;2264;24
fenetre;1637181442362904;2271;25
fenetre;1637181442362934;2280;26
fenetre;1637181442362962;2288;27
fenetre;1637181442362988;2297;28
fenetre;1637181442363017;2305;29
fenetre;1637181442363035;2313;30
fenetre;1637181442363050;2321;31
fenetre;1637181442363283;2547;32
fenetre;1637181442363290;2553;33
fenetre;1637181442363294;2558;34
fenetre;1637181442363298;2562;35
fenetre;1637181442363301;2565;36
fenetre;1637181442363305;2569;37
fenetre;1637181442363324;2578;38
fenetre;1637181442363348;2587;39
fenetre;1637181442363378;2596;40
fenetre;1637181442363405;2605;41
fenetre;1637181442363432;2613;42
fenetre;1637181442363457;2621;43
fenetre;1637181442363486;2629;44
fenetre;1637181442363514;2637;45
fenetre;1637181442363539;2645;46
fenetre;1637181442363567;2653;47
fenetre;1637181442363596;2662;48
fenetre;1637181442363622;2670;49
fenetre;1637181442363649;2677;50
fenetre;1637181442363675;2683;51
fenetre;1637181442363704;2691;52
fenetre;1637181442363732;2698;53
fenetre;1637181442363759;2705;54
fenetre;1637181442363787;2714;55
fenetre;1637181442363813;2722;56
fenetre;1637181442363843;2730;57
fenetre;1637181442363869;2738;58
fenetre;1637181442363895;2745;59
fenetre;1637181442363922;2752;60
fenetre;1637181442363948;2761;61
fenetre;1637181442363977;2774;62
fenetre;1637181442363996;2783;63
fenetre;1637181442364464;3244;64
fenetre;1637181442364470;3250;65
fenetre;1637181442364474;3253;66
fenetre;1637181442364478;3258;67
fenetre;1637181442364483;3262;68
fenetre;1637181442364486;3266;69
fenetre;1637181442364490;3269;70
fenetre;1637181442364493;3273;71
fenetre;1637181442364497;3276;72
fenetre;1637181442364501;3280;73
fenetre;1637181442364504;3284;74
fenetre;1637181442364509;3289;75
fenetre;1637181442364513;3292;76
fenetre;1637181442364516;3295;77
fenetre;1637181442364520;3300;78
fenetre;1637181442364543;3309;79
fenetre;1637181442364572;3320;80
fenetre;1637181442364596;3329;81
fenetre;1637181442364621;3337;82
fenetre;1637181442364648;3345;83
fenetre;1637181442364674;3354;84
fenetre;1637181442364702;3363;85
