type;temps;clock;fen
debut;1637183406589682;1932;0
fenetre;1637183406591039;2045;1
fenetre;1637183406591267;2088;2
fenetre;1637183406591484;2109;3
fenetre;1637183406591547;2164;4
fenetre;1637183406591696;2179;5
fenetre;1637183406591715;2189;6
fenetre;1637183406591738;2202;7
fenetre;1637183406591857;2286;8
fenetre;1637183406591910;2300;9
ecn;1637183406591947;2310;0
fenetre;1637183406592007;2370;8
timeout;1637183407597064;2396;0
fenetre;1637183407597231;2563;4
fenetre;1637183407597562;2599;5
fenetre;1637183407597647;2650;6
fenetre;1637183407597728;2699;7
fenetre;1637183407597900;2872;8
fenetre;1637183407598380;2937;9
fenetre;1637183407598406;2963;10
fenetre;1637183407598569;3008;11
fenetre;1637183407598591;3030;12
fenetre;1637183407598603;3043;13
fenetre;1637183407598655;3063;14
ecn;1637183407598727;3106;0
fenetre;1637183407598945;3324;12
fenetre;1637183407598961;3340;13
fenetre;1637183407599423;3383;14
fenetre;1637183407599445;3405;15
timeout;1637183408600394;3422;0
fenetre;1637183408600480;3508;7
fenetre;1637183408600695;3532;8
fenetre;1637183408600815;3559;9
fenetre;1637183408600827;3571;10
fenetre;1637183408600837;3581;11
fenetre;1637183408600870;3605;12
fenetre;1637183408600887;3620;13
fenetre;1637183408601151;3854;14
fenetre;1637183408601198;3879;15
fenetre;1637183408601215;3890;16
fenetre;1637183408601241;3908;17
ecn;1637183408601417;3924;0
fenetre;1637183408601551;4050;15
fenetre;1637183408601600;4065;16
timeout;1637183409604428;4086;0
fenetre;1637183409604569;4227;8
fenetre;1637183409604911;4254;9
fenetre;1637183409604926;4269;10
fenetre;1637183409604970;4295;11
fenetre;1637183409605004;4314;12
fenetre;1637183409605013;4323;13
fenetre;1637183409605054;4351;14
fenetre;1637183409605069;4365;15
fenetre;1637183409605306;4575;16
fenetre;1637183409605451;4604;17
fenetre;1637183409605489;4633;18
ecn;1637183409605517;4654;0
fenetre;1637183409605708;4846;16
fenetre;1637183409605717;4855;17
timeout;1637183410607895;4866;0
fenetre;1637183410608010;4966;8
fenetre;1637183410608099;4979;9
fenetre;1637183410608133;4993;10
fenetre;1637183410608161;5009;11
fenetre;1637183410608197;5024;12
fenetre;1637183410608217;5035;13
fenetre;1637183410608232;5043;14
fenetre;1637183410608243;5050;15
fenetre;1637183410608374;5174;16
fenetre;1637183410608421;5186;17
fenetre;1637183410608449;5196;18
timeout;1637183411613506;5224;0
fenetre;1637183411613742;5458;9
fenetre;1637183411614147;5496;10
fenetre;1637183411614245;5546;11
fenetre;1637183411614296;5577;12
fenetre;1637183411614426;5625;13
fenetre;1637183411614604;5670;14
fenetre;1637183411614682;5717;15
fenetre;1637183411614748;5764;16
fenetre;1637183411614758;5774;17
fenetre;1637183411614970;5973;18
fenetre;1637183411615119;5998;19
ecn;1637183411615173;6031;0
fenetre;1637183411615384;6241;17
timeout;1637183412619591;6288;0
fenetre;1637183412619690;6385;8
fenetre;1637183412619960;6401;9
fenetre;1637183412619984;6414;10
fenetre;1637183412619990;6420;11
fenetre;1637183412620031;6434;12
fenetre;1637183412620045;6448;13
fenetre;1637183412620049;6452;14
fenetre;1637183412620082;6474;15
fenetre;1637183412620213;6604;16
fenetre;1637183412620348;6624;17
fenetre;1637183412620357;6632;18
ecn;1637183412620455;6649;0
fenetre;1637183412620565;6758;16
fenetre;1637183412620572;6765;17
fenetre;1637183412620618;6779;18
fenetre;1637183412620634;6789;19
fenetre;1637183412620686;6803;20
fenetre;1637183412620694;6811;21
timeout;1637183413620727;6830;0
fenetre;1637183413620883;6985;10
fenetre;1637183413621166;7014;11
fenetre;1637183413621298;7043;12
fenetre;1637183413621312;7057;13
fenetre;1637183413621354;7082;14
fenetre;1637183413621419;7115;15
fenetre;1637183413621441;7136;16
fenetre;1637183413621451;7146;17
fenetre;1637183413621534;7167;18
fenetre;1637183413621562;7189;19
fenetre;1637183413621793;7411;20
ecn;1637183413621919;7431;0
fenetre;1637183413622120;7632;18
fenetre;1637183413622423;7654;19
fenetre;1637183413622455;7685;20
timeout;1637183414627511;7713;0
fenetre;1637183414627793;7993;10
fenetre;1637183414628037;8041;11
fenetre;1637183414628131;8090;12
fenetre;1637183414628256;8140;13
fenetre;1637183414628283;8167;14
fenetre;1637183414628421;8305;15
fenetre;1637183414628434;8317;16
fenetre;1637183414628559;8384;17
fenetre;1637183414628617;8418;18
fenetre;1637183414628658;8454;19
fenetre;1637183414628895;8691;20
ecn;1637183414628989;8720;0
fenetre;1637183414629209;8939;18
ecn;1637183414629219;8949;0
fenetre;1637183414629380;9111;16
fenetre;1637183414629388;9119;17
fenetre;1637183414629577;9144;18
fenetre;1637183414629624;9165;19
fenetre;1637183414629675;9193;20
fenetre;1637183414630201;9218;21
timeout;1637183415633123;9264;0
fenetre;1637183415633304;9445;10
fenetre;1637183415633663;9460;11
fenetre;1637183415633703;9473;12
fenetre;1637183415633736;9505;13
fenetre;1637183415633760;9512;14
fenetre;1637183415633807;9546;15
fenetre;1637183415633844;9558;16
fenetre;1637183415633851;9565;17
fenetre;1637183415633895;9605;18
fenetre;1637183415634010;9673;19
fenetre;1637183415634178;9841;20
ecn;1637183415634311;9854;0
fenetre;1637183415634487;10030;18
fenetre;1637183415634493;10034;19
timeout;1637183416638455;10045;0
fenetre;1637183416638541;10131;9
fenetre;1637183416638757;10148;10
fenetre;1637183416638765;10156;11
fenetre;1637183416638804;10172;12
fenetre;1637183416638831;10189;13
fenetre;1637183416638836;10193;14
fenetre;1637183416638850;10199;15
fenetre;1637183416638855;10204;16
fenetre;1637183416638865;10210;17
fenetre;1637183416639003;10334;18
fenetre;1637183416639063;10352;19
ecn;1637183416639080;10361;0
fenetre;1637183416639184;10465;17
fenetre;1637183416639188;10469;18
fenetre;1637183416639388;10477;19
timeout;1637183417643671;10506;0
fenetre;1637183417643926;10760;9
fenetre;1637183417644353;10799;10
fenetre;1637183417644377;10823;11
fenetre;1637183417644462;10851;12
fenetre;1637183417644638;10904;13
fenetre;1637183417644682;10948;14
fenetre;1637183417644699;10965;15
fenetre;1637183417644729;10995;16
fenetre;1637183417644793;11023;17
fenetre;1637183417645001;11230;18
fenetre;1637183417645146;11259;19
timeout;1637183418648343;11289;0
fenetre;1637183418648513;11458;9
fenetre;1637183418648762;11492;10
fenetre;1637183418648828;11520;11
fenetre;1637183418648862;11540;12
fenetre;1637183418648973;11582;13
fenetre;1637183418649001;11609;14
fenetre;1637183418649010;11619;15
fenetre;1637183418649059;11648;16
fenetre;1637183418649074;11663;17
fenetre;1637183418649334;11916;18
fenetre;1637183418649452;11950;19
ecn;1637183418649542;11984;0
fenetre;1637183418649759;12202;17
fenetre;1637183418649770;12212;18
ecn;1637183418649776;12218;0
fenetre;1637183418649956;12397;16
fenetre;1637183418649964;12406;17
fenetre;1637183418649970;12412;18
fenetre;1637183418649975;12417;19
fenetre;1637183418649982;12423;20
fenetre;1637183418649988;12430;21
fenetre;1637183418649994;12435;22
fenetre;1637183418650339;12451;23
timeout;1637183419654002;12478;0
fenetre;1637183419654286;12761;11
fenetre;1637183419654605;12809;12
fenetre;1637183419654631;12834;13
fenetre;1637183419654781;12868;14
fenetre;1637183419654804;12889;15
fenetre;1637183419654918;12945;16
fenetre;1637183419654988;13004;17
fenetre;1637183419655115;13038;18
fenetre;1637183419655151;13070;19
fenetre;1637183419655161;13079;20
fenetre;1637183419655198;13098;21
ecn;1637183419655210;13110;0
fenetre;1637183419655391;13290;18
ecn;1637183419655568;13314;0
fenetre;1637183419655761;13506;16
fenetre;1637183419655772;13518;17
fenetre;1637183419656073;13535;18
fenetre;1637183419656087;13549;19
timeout;1637183420659817;13573;0
fenetre;1637183420660066;13822;9
fenetre;1637183420660459;13858;10
fenetre;1637183420660483;13881;11
fenetre;1637183420660574;13906;12
fenetre;1637183420660644;13940;13
fenetre;1637183420660770;13983;14
fenetre;1637183420660794;14006;15
fenetre;1637183420660865;14025;16
fenetre;1637183420660893;14038;17
fenetre;1637183420661116;14243;18
fenetre;1637183420661293;14261;19
ecn;1637183420661341;14289;0
fenetre;1637183420661537;14485;17
fenetre;1637183420661681;14511;18
timeout;1637183421665787;14542;0
fenetre;1637183421666033;14786;9
fenetre;1637183421666549;14833;10
fenetre;1637183421666573;14856;11
fenetre;1637183421666731;14904;12
fenetre;1637183421666755;14926;13
fenetre;1637183421666817;14972;14
fenetre;1637183421666903;15057;15
fenetre;1637183421666911;15065;16
fenetre;1637183421666964;15089;17
fenetre;1637183421667185;15300;18
fenetre;1637183421667302;15332;19
ecn;1637183421667317;15347;0
fenetre;1637183421667517;15547;17
timeout;1637183422671596;15577;0
fenetre;1637183422671854;15833;8
fenetre;1637183422672317;15887;9
fenetre;1637183422672363;15924;10
fenetre;1637183422672525;15973;11
fenetre;1637183422672558;16005;12
fenetre;1637183422672570;16018;13
fenetre;1637183422672585;16033;14
fenetre;1637183422672710;16094;15
fenetre;1637183422673017;16402;16
fenetre;1637183422673148;16432;17
fenetre;1637183422673217;16460;18
timeout;1637183423676819;16493;0
fenetre;1637183423677059;16732;9
fenetre;1637183423677548;16780;10
fenetre;1637183423677632;16831;11
fenetre;1637183423677739;16904;12
fenetre;1637183423677781;16945;13
fenetre;1637183423677796;16960;14
fenetre;1637183423677874;17004;15
fenetre;1637183423677968;17025;16
fenetre;1637183423677980;17037;17
fenetre;1637183423678174;17231;18
fenetre;1637183423678311;17254;19
ecn;1637183423678384;17283;0
fenetre;1637183423678585;17483;17
timeout;1637183424681577;17507;0
fenetre;1637183424681740;17669;8
fenetre;1637183424682086;17699;9
fenetre;1637183424682185;17735;10
fenetre;1637183424682200;17750;11
fenetre;1637183424682277;17784;12
fenetre;1637183424682313;17810;13
fenetre;1637183424682341;17838;14
fenetre;1637183424682350;17847;15
fenetre;1637183424682600;18061;16
fenetre;1637183424682740;18083;17
fenetre;1637183424682788;18100;18
ecn;1637183424682843;18126;0
fenetre;1637183424683035;18317;16
timeout;1637183425687322;18349;0
fenetre;1637183425687719;18746;8
fenetre;1637183425688243;18806;9
fenetre;1637183425688273;18835;10
fenetre;1637183425688400;18878;11
fenetre;1637183425688440;18913;12
fenetre;1637183425688495;18946;13
fenetre;1637183425688533;18976;14
fenetre;1637183425688567;18992;15
fenetre;1637183425688765;19177;16
fenetre;1637183425688900;19205;17
fenetre;1637183425689019;19235;18
ecn;1637183425689034;19250;0
fenetre;1637183425689233;19449;16
fenetre;1637183425689242;19458;17
fenetre;1637183425689248;19464;18
fenetre;1637183425689255;19471;19
fenetre;1637183425689663;19492;20
timeout;1637183426690000;19509;0
fenetre;1637183426690095;19603;10
fenetre;1637183426690261;19616;11
fenetre;1637183426690282;19628;12
fenetre;1637183426690324;19639;13
fenetre;1637183426690356;19651;14
fenetre;1637183426690399;19674;15
fenetre;1637183426690431;19691;16
fenetre;1637183426690474;19714;17
fenetre;1637183426690481;19720;18
fenetre;1637183426690499;19728;19
fenetre;1637183426690628;19853;20
timeout;1637183427693204;19880;0
fenetre;1637183427693471;20147;10
fenetre;1637183427693898;20181;11
fenetre;1637183427693961;20232;12
fenetre;1637183427694004;20267;13
fenetre;1637183427694154;20328;14
fenetre;1637183427694188;20362;15
fenetre;1637183427694239;20396;16
fenetre;1637183427694288;20422;17
fenetre;1637183427694409;20445;18
fenetre;1637183427694419;20457;19
fenetre;1637183427694648;20682;20
timeout;1637183428699758;20716;0
fenetre;1637183428700012;20968;10
fenetre;1637183428700398;21006;11
fenetre;1637183428700491;21057;12
fenetre;1637183428700624;21120;13
fenetre;1637183428700651;21146;14
fenetre;1637183428700763;21192;15
fenetre;1637183428700788;21218;16
