type;temps;clock;fen
debut;1637183506631928;1865;0
fenetre;1637183506632849;1981;1
fenetre;1637183506633009;2012;2
fenetre;1637183506633205;2030;3
fenetre;1637183506633252;2077;4
fenetre;1637183506633391;2088;5
fenetre;1637183506633432;2108;6
fenetre;1637183506633442;2118;7
fenetre;1637183506633526;2191;8
fenetre;1637183506633635;2205;9
timeout;1637183507633849;2217;0
fenetre;1637183507633925;2294;4
fenetre;1637183507634127;2310;5
fenetre;1637183507634156;2329;6
fenetre;1637183507634165;2337;7
fenetre;1637183507634235;2405;8
fenetre;1637183507634437;2426;9
fenetre;1637183507634508;2442;10
fenetre;1637183507634596;2462;11
fenetre;1637183507634621;2476;12
fenetre;1637183507634635;2485;13
fenetre;1637183507634650;2492;14
ecn;1637183507634666;2498;0
fenetre;1637183507634739;2571;12
timeout;1637183508639521;2592;0
fenetre;1637183508639701;2771;6
fenetre;1637183508640176;2805;7
fenetre;1637183508640267;2854;8
fenetre;1637183508640290;2877;9
fenetre;1637183508640351;2931;10
fenetre;1637183508640374;2954;11
fenetre;1637183508640652;3212;12
fenetre;1637183508640833;3244;13
fenetre;1637183508640916;3279;14
fenetre;1637183508640930;3293;15
fenetre;1637183508640983;3320;16
ecn;1637183508641059;3353;0
fenetre;1637183508641227;3521;14
timeout;1637183509645990;3537;0
fenetre;1637183509646095;3643;7
fenetre;1637183509646304;3664;8
fenetre;1637183509646313;3674;9
fenetre;1637183509646318;3678;10
fenetre;1637183509646338;3687;11
fenetre;1637183509646343;3692;12
fenetre;1637183509646359;3699;13
fenetre;1637183509646454;3789;14
fenetre;1637183509646580;3813;15
fenetre;1637183509646601;3830;16
fenetre;1637183509646608;3836;17
ecn;1637183509646659;3853;0
fenetre;1637183509646787;3979;15
fenetre;1637183509646797;3989;16
timeout;1637183510648495;4017;0
fenetre;1637183510648673;4194;8
fenetre;1637183510648935;4239;9
fenetre;1637183510648996;4275;10
fenetre;1637183510649217;4315;11
fenetre;1637183510649232;4330;12
fenetre;1637183510649319;4355;13
fenetre;1637183510649349;4376;14
fenetre;1637183510649391;4404;15
fenetre;1637183510649722;4647;16
fenetre;1637183510649863;4684;17
fenetre;1637183510649904;4710;18
ecn;1637183510649982;4740;0
fenetre;1637183510650210;4969;16
fenetre;1637183510650221;4980;17
fenetre;1637183510650228;4986;18
fenetre;1637183510650234;4993;19
fenetre;1637183510650241;5000;20
fenetre;1637183510650579;5025;21
fenetre;1637183510650637;5068;22
fenetre;1637183510650662;5083;23
fenetre;1637183510650710;5099;24
fenetre;1637183510650857;5125;25
fenetre;1637183510650869;5136;26
timeout;1637183511651073;5150;0
fenetre;1637183511651235;5312;13
fenetre;1637183511651410;5330;14
fenetre;1637183511651423;5344;15
fenetre;1637183511651521;5388;16
fenetre;1637183511651555;5414;17
fenetre;1637183511651608;5441;18
fenetre;1637183511651670;5464;19
fenetre;1637183511651721;5490;20
fenetre;1637183511651768;5515;21
fenetre;1637183511651782;5529;22
fenetre;1637183511651817;5544;23
timeout;1637183512652156;5569;0
fenetre;1637183512652462;5875;11
fenetre;1637183512652779;5927;12
fenetre;1637183512652841;5979;13
fenetre;1637183512652877;5996;14
fenetre;1637183512653024;6026;15
fenetre;1637183512653063;6053;16
