type;temps;clock;fen
debut;1637188174042975;1698;0
fenetre;1637188174043883;1811;1
fenetre;1637188174044045;1842;2
fenetre;1637188174044185;1860;3
fenetre;1637188174044221;1897;4
fenetre;1637188174044319;1907;5
fenetre;1637188174044338;1920;6
fenetre;1637188174044352;1929;7
fenetre;1637188174044409;1980;8
fenetre;1637188174044536;1991;9
fenetre;1637188174044564;2004;10
fenetre;1637188174044581;2012;11
fenetre;1637188174044598;2024;12
fenetre;1637188174044614;2038;13
fenetre;1637188174044620;2045;14
fenetre;1637188174044641;2051;15
fenetre;1637188174044759;2159;16
fenetre;1637188174044814;2175;17
fenetre;1637188174044820;2181;18
fenetre;1637188174044842;2187;19
fenetre;1637188174044868;2200;20
fenetre;1637188174044893;2211;21
fenetre;1637188174044918;2223;22
fenetre;1637188174044938;2237;23
fenetre;1637188174044955;2246;24
fenetre;1637188174044986;2257;25
fenetre;1637188174045006;2266;26
fenetre;1637188174045027;2274;27
fenetre;1637188174045067;2289;28
fenetre;1637188174045086;2303;29
fenetre;1637188174045093;2309;30
fenetre;1637188174045105;2317;31
fenetre;1637188174045298;2503;32
fenetre;1637188174045305;2510;33
fenetre;1637188174045308;2513;34
fenetre;1637188174045311;2516;35
fenetre;1637188174045327;2525;36
fenetre;1637188174045351;2535;37
fenetre;1637188174045394;2550;38
fenetre;1637188174045401;2557;39
fenetre;1637188174045422;2563;40
fenetre;1637188174045437;2571;41
fenetre;1637188174045464;2577;42
fenetre;1637188174045509;2593;43
fenetre;1637188174045514;2598;44
fenetre;1637188174045530;2604;45
fenetre;1637188174045558;2615;46
fenetre;1637188174045584;2629;47
fenetre;1637188174045602;2640;48
fenetre;1637188174045632;2652;49
fenetre;1637188174045647;2659;50
fenetre;1637188174045673;2665;51
fenetre;1637188174045695;2673;52
fenetre;1637188174045732;2686;53
fenetre;1637188174045748;2694;54
fenetre;1637188174045775;2707;55
fenetre;1637188174045790;2718;56
fenetre;1637188174045815;2730;57
fenetre;1637188174045841;2740;58
fenetre;1637188174045858;2748;59
fenetre;1637188174045883;2757;60
fenetre;1637188174045906;2764;61
fenetre;1637188174045915;2774;62
fenetre;1637188174045936;2781;63
fenetre;1637188174046277;3117;64
fenetre;1637188174046282;3122;65
fenetre;1637188174046285;3126;66
fenetre;1637188174046288;3129;67
fenetre;1637188174046292;3132;68
fenetre;1637188174046295;3135;69
fenetre;1637188174046299;3139;70
fenetre;1637188174046302;3142;71
fenetre;1637188174046329;3149;72
fenetre;1637188174046360;3160;73
fenetre;1637188174046385;3174;74
fenetre;1637188174046407;3184;75
fenetre;1637188174046425;3194;76
fenetre;1637188174046454;3202;77
fenetre;1637188174046475;3212;78
fenetre;1637188174046505;3223;79
fenetre;1637188174046529;3238;80
fenetre;1637188174046550;3252;81
fenetre;1637188174046567;3263;82
fenetre;1637188174046594;3273;83
fenetre;1637188174046615;3284;84
fenetre;1637188174046638;3294;85
fenetre;1637188174046665;3306;86
fenetre;1637188174046690;3319;87
fenetre;1637188174046711;3331;88
fenetre;1637188174046733;3341;89
fenetre;1637188174046757;3348;90
fenetre;1637188174046781;3356;91
fenetre;1637188174046824;3372;92
fenetre;1637188174046831;3379;93
fenetre;1637188174046858;3392;94
fenetre;1637188174046877;3402;95
fenetre;1637188174046912;3417;96
fenetre;1637188174046921;3427;97
fenetre;1637188174046950;3440;98
fenetre;1637188174046969;3455;99
fenetre;1637188174047002;3471;100
fenetre;1637188174047016;3482;101
fenetre;1637188174047050;3492;102
fenetre;1637188174047083;3505;103
fenetre;1637188174047126;3520;104
fenetre;1637188174047151;3535;105
fenetre;1637188174047166;3549;106
fenetre;1637188174047193;3560;107
fenetre;1637188174047215;3570;108
fenetre;1637188174047237;3584;109
fenetre;1637188174047261;3595;110
fenetre;1637188174047283;3607;111
fenetre;1637188174047310;3617;112
fenetre;1637188174047331;3628;113
fenetre;1637188174047360;3640;114
fenetre;1637188174047382;3649;115
fenetre;1637188174047409;3658;116
fenetre;1637188174047429;3672;117
fenetre;1637188174047446;3681;118
fenetre;1637188174047477;3692;119
fenetre;1637188174047505;3706;120
fenetre;1637188174047529;3723;121
fenetre;1637188174047544;3733;122
fenetre;1637188174047563;3744;123
fenetre;1637188174047604;3786;124
fenetre;1637188174047608;3789;125
fenetre;1637188174047623;3798;126
fenetre;1637188174047629;3804;127
fenetre;1637188174048520;4669;128
fenetre;1637188174048530;4679;129
fenetre;1637188174048535;4685;130
fenetre;1637188174048540;4689;131
fenetre;1637188174048545;4694;132
