type;temps;clock;fen
debut;1637183622167215;1826;0
fenetre;1637183622168101;1937;1
fenetre;1637183622168316;1967;2
fenetre;1637183622168474;1981;3
fenetre;1637183622168508;2014;4
fenetre;1637183622168741;2024;5
fenetre;1637183622168747;2031;6
fenetre;1637183622168766;2046;7
fenetre;1637183622168843;2122;8
fenetre;1637183622168900;2135;9
ecn;1637183622168952;2149;0
fenetre;1637183622169019;2215;8
fenetre;1637183622169025;2221;9
fenetre;1637183622169029;2225;10
fenetre;1637183622169033;2229;11
fenetre;1637183622169125;2238;12
fenetre;1637183622169144;2247;13
timeout;1637183623173786;2273;0
fenetre;1637183623173968;2454;6
fenetre;1637183623174443;2502;7
fenetre;1637183623174493;2544;8
fenetre;1637183623174531;2566;9
fenetre;1637183623174601;2604;10
fenetre;1637183623174689;2658;11
fenetre;1637183623174947;2916;12
fenetre;1637183623175207;2959;13
fenetre;1637183623175314;2992;14
fenetre;1637183623175390;3036;15
fenetre;1637183623175416;3062;16
ecn;1637183623175581;3088;0
fenetre;1637183623175830;3337;14
fenetre;1637183623176010;3369;15
fenetre;1637183623176194;3420;16
timeout;1637183624178428;3455;0
fenetre;1637183624178650;3676;8
fenetre;1637183624179000;3727;9
fenetre;1637183624179063;3781;10
fenetre;1637183624179186;3810;11
fenetre;1637183624179225;3843;12
fenetre;1637183624179340;3874;13
fenetre;1637183624179374;3900;14
fenetre;1637183624179430;3932;15
fenetre;1637183624179619;4110;16
fenetre;1637183624179778;4130;17
fenetre;1637183624179846;4160;18
timeout;1637183625179958;4178;0
fenetre;1637183625180052;4271;9
timeout;1637183626181952;4283;0
fenetre;1637183626182109;4405;4
fenetre;1637183626182310;4427;5
fenetre;1637183626182322;4439;6
fenetre;1637183626182361;4457;7
fenetre;1637183626182469;4557;8
fenetre;1637183626182587;4574;9
fenetre;1637183626182637;4589;10
fenetre;1637183626182672;4604;11
fenetre;1637183626182710;4619;12
fenetre;1637183626182747;4643;13
fenetre;1637183626182775;4656;14
ecn;1637183626182795;4668;0
fenetre;1637183626182871;4745;12
fenetre;1637183626183032;4759;13
fenetre;1637183626183048;4769;14
fenetre;1637183626183080;4786;15
fenetre;1637183626183097;4795;16
fenetre;1637183626183177;4813;17
fenetre;1637183626183185;4821;18
fenetre;1637183626183189;4825;19
timeout;1637183627183218;4842;0
fenetre;1637183627183366;4989;9
fenetre;1637183627183614;5016;10
fenetre;1637183627183657;5045;11
fenetre;1637183627183704;5069;12
fenetre;1637183627183747;5095;13
fenetre;1637183627183792;5121;14
fenetre;1637183627183807;5136;15
fenetre;1637183627183830;5149;16
fenetre;1637183627183863;5162;17
fenetre;1637183627184106;5383;18
fenetre;1637183627184194;5407;19
ecn;1637183627184221;5425;0
fenetre;1637183627184416;5620;17
fenetre;1637183627184425;5628;18
fenetre;1637183627184432;5636;19
fenetre;1637183627184825;5658;20
fenetre;1637183627184894;5687;21
fenetre;1637183627184932;5717;22
fenetre;1637183627185018;5740;23
fenetre;1637183627185032;5754;24
fenetre;1637183627185058;5767;25
fenetre;1637183627185118;5794;26
fenetre;1637183627185150;5819;27
fenetre;1637183627185200;5854;28
fenetre;1637183627185261;5879;29
fenetre;1637183627185312;5907;30
fenetre;1637183627185330;5926;31
fenetre;1637183627185338;5933;32
fenetre;1637183627185371;5957;33
timeout;1637183628187524;5976;0
fenetre;1637183628187676;6129;16
fenetre;1637183628187770;6143;17
fenetre;1637183628187906;6163;18
fenetre;1637183628187915;6172;19
