type;temps;clock;fen
debut;1637181360627393;1652;0
fenetre;1637181360628141;1764;1
fenetre;1637181360628291;1798;2
fenetre;1637181360628414;1816;3
fenetre;1637181360628463;1857;4
fenetre;1637181360628580;1874;5
fenetre;1637181360628588;1882;6
fenetre;1637181360628610;1893;7
fenetre;1637181360628686;1959;8
fenetre;1637181360628744;1969;9
fenetre;1637181360628771;1979;10
fenetre;1637181360628797;1989;11
fenetre;1637181360628829;1997;12
fenetre;1637181360628853;2006;13
fenetre;1637181360628871;2017;14
fenetre;1637181360628881;2026;15
fenetre;1637181360629008;2142;16
fenetre;1637181360629014;2148;17
fenetre;1637181360629043;2157;18
fenetre;1637181360629069;2168;19
fenetre;1637181360629093;2177;20
fenetre;1637181360629118;2184;21
fenetre;1637181360629145;2194;22
fenetre;1637181360629172;2203;23
fenetre;1637181360629199;2212;24
fenetre;1637181360629223;2219;25
fenetre;1637181360629252;2229;26
fenetre;1637181360629275;2237;27
fenetre;1637181360629304;2245;28
fenetre;1637181360629330;2254;29
fenetre;1637181360629348;2263;30
fenetre;1637181360629361;2270;31
fenetre;1637181360629593;2495;32
fenetre;1637181360629600;2502;33
fenetre;1637181360629604;2506;34
fenetre;1637181360629608;2510;35
fenetre;1637181360629612;2513;36
fenetre;1637181360629616;2517;37
fenetre;1637181360629631;2524;38
fenetre;1637181360629661;2532;39
fenetre;1637181360629691;2545;40
fenetre;1637181360629714;2555;41
fenetre;1637181360629740;2565;42
fenetre;1637181360629771;2574;43
fenetre;1637181360629795;2582;44
fenetre;1637181360629821;2591;45
fenetre;1637181360629849;2600;46
fenetre;1637181360629875;2609;47
fenetre;1637181360629903;2618;48
fenetre;1637181360629928;2626;49
fenetre;1637181360629956;2634;50
fenetre;1637181360629983;2643;51
fenetre;1637181360630008;2650;52
fenetre;1637181360630036;2659;53
fenetre;1637181360630061;2667;54
fenetre;1637181360630091;2675;55
fenetre;1637181360630116;2684;56
fenetre;1637181360630146;2693;57
fenetre;1637181360630170;2700;58
fenetre;1637181360630199;2709;59
fenetre;1637181360630227;2717;60
fenetre;1637181360630254;2726;61
fenetre;1637181360630280;2739;62
fenetre;1637181360630297;2747;63
fenetre;1637181360630740;3183;64
fenetre;1637181360630746;3190;65
fenetre;1637181360630750;3193;66
fenetre;1637181360630755;3198;67
fenetre;1637181360630759;3202;68
fenetre;1637181360630763;3206;69
fenetre;1637181360630766;3209;70
fenetre;1637181360630770;3212;71
fenetre;1637181360630773;3217;72
fenetre;1637181360630777;3220;73
fenetre;1637181360630783;3225;74
fenetre;1637181360630786;3229;75
fenetre;1637181360630790;3233;76
fenetre;1637181360630793;3236;77
