type;temps;clock;fen
debut;1637182987599684;2078;0
fenetre;1637182987600730;2225;1
fenetre;1637182987600895;2267;2
fenetre;1637182987601069;2288;3
fenetre;1637182987601117;2337;4
fenetre;1637182987601245;2348;5
fenetre;1637182987601262;2358;6
fenetre;1637182987601281;2366;7
fenetre;1637182987601349;2425;8
fenetre;1637182987601458;2444;9
fenetre;1637182987601468;2453;10
fenetre;1637182987601499;2462;11
timeout;1637182988606571;2484;0
fenetre;1637182988606756;2668;5
fenetre;1637182988607163;2702;6
fenetre;1637182988607239;2741;7
fenetre;1637182988607254;2757;8
fenetre;1637182988607291;2776;9
fenetre;1637182988607554;3004;10
fenetre;1637182988607913;3057;11
fenetre;1637182988607973;3090;12
fenetre;1637182988608133;3128;13
fenetre;1637182988608155;3150;14
fenetre;1637182988608250;3188;15
fenetre;1637182988608272;3209;16
fenetre;1637182988608336;3233;17
fenetre;1637182988608411;3284;18
timeout;1637182989612869;3311;0
fenetre;1637182989612973;3414;9
fenetre;1637182989613255;3433;10
fenetre;1637182989613369;3453;11
fenetre;1637182989613436;3468;12
fenetre;1637182989613472;3482;13
fenetre;1637182989613528;3495;14
fenetre;1637182989613560;3512;15
fenetre;1637182989613608;3534;16
fenetre;1637182989613618;3545;17
fenetre;1637182989613860;3735;18
fenetre;1637182989614011;3772;19
fenetre;1637182989614031;3788;20
fenetre;1637182989614063;3803;21
fenetre;1637182989614097;3824;22
fenetre;1637182989614148;3844;23
fenetre;1637182989614269;3885;24
fenetre;1637182989614281;3896;25
timeout;1637182990615647;3925;0
fenetre;1637182990615984;4261;12
fenetre;1637182990616555;4319;13
fenetre;1637182990616630;4367;14
fenetre;1637182990616755;4407;15
fenetre;1637182990616825;4439;16
fenetre;1637182990616902;4476;17
fenetre;1637182990616956;4508;18
fenetre;1637182990617048;4530;19
fenetre;1637182990617145;4562;20
fenetre;1637182990617160;4577;21
fenetre;1637182990617168;4585;22
fenetre;1637182990617174;4591;23
fenetre;1637182990617582;4908;24
fenetre;1637182990617597;4923;25
fenetre;1637182990617641;4937;26
fenetre;1637182990617720;4966;27
fenetre;1637182990617734;4980;28
fenetre;1637182990617782;5006;29
fenetre;1637182990617819;5025;30
fenetre;1637182990617927;5052;31
fenetre;1637182990617941;5066;32
fenetre;1637182990617964;5083;33
fenetre;1637182990618002;5103;34
timeout;1637182991620036;5130;0
fenetre;1637182991620401;5495;17
fenetre;1637182991620677;5546;18
fenetre;1637182991620699;5569;19
fenetre;1637182991620775;5608;20
fenetre;1637182991620822;5641;21
fenetre;1637182991620985;5671;22
fenetre;1637182991621026;5700;23
fenetre;1637182991621131;5731;24
fenetre;1637182991621263;5765;25
fenetre;1637182991621277;5778;26
fenetre;1637182991621301;5796;27
timeout;1637182992621436;5815;0
fenetre;1637182992621583;5963;13
fenetre;1637182992621819;5987;14
fenetre;1637182992621830;5997;15
fenetre;1637182992621864;6015;16
fenetre;1637182992621888;6033;17
fenetre;1637182992621923;6048;18
fenetre;1637182992621995;6069;19
fenetre;1637182992622090;6098;20
fenetre;1637182992622147;6115;21
fenetre;1637182992622170;6131;22
fenetre;1637182992622191;6144;23
fenetre;1637182992622267;6163;24
fenetre;1637182992622276;6172;25
fenetre;1637182992622487;6383;26
fenetre;1637182992622552;6403;27
fenetre;1637182992622594;6420;28
timeout;1637182993622810;6439;0
fenetre;1637182993623007;6635;14
fenetre;1637182993623299;6659;15
fenetre;1637182993623312;6672;16
fenetre;1637182993623318;6679;17
fenetre;1637182993623397;6696;18
fenetre;1637182993623408;6707;19
fenetre;1637182993623510;6729;20
fenetre;1637182993623522;6741;21
fenetre;1637182993623570;6762;22
fenetre;1637182993623613;6780;23
fenetre;1637182993623646;6795;24
fenetre;1637182993623696;6814;25
fenetre;1637182993623707;6826;26
fenetre;1637182993623737;6839;27
fenetre;1637182993623984;7087;28
timeout;1637182994625961;7110;0
fenetre;1637182994626274;7423;14
fenetre;1637182994626581;7474;15
fenetre;1637182994626614;7506;16
fenetre;1637182994626794;7548;17
fenetre;1637182994626860;7588;18
fenetre;1637182994626883;7611;19
fenetre;1637182994627016;7659;20
fenetre;1637182994627075;7689;21
fenetre;1637182994627157;7712;22
fenetre;1637182994627286;7752;23
fenetre;1637182994627387;7853;24
fenetre;1637182994627395;7861;25
fenetre;1637182994627403;7869;26
timeout;1637182995632316;7887;0
fenetre;1637182995632506;8078;13
fenetre;1637182995632692;8103;14
fenetre;1637182995632704;8114;15
fenetre;1637182995632830;8160;16
fenetre;1637182995632852;8181;17
fenetre;1637182995632860;8187;18
fenetre;1637182995632892;8207;19
fenetre;1637182995632974;8233;20
fenetre;1637182995633085;8255;21
fenetre;1637182995633097;8265;22
fenetre;1637182995633137;8286;23
fenetre;1637182995633219;8308;24
fenetre;1637182995633234;8323;25
fenetre;1637182995633448;8537;26
fenetre;1637182995633524;8557;27
fenetre;1637182995633553;8573;28
fenetre;1637182995633674;8593;29
timeout;1637182996636708;8619;0
fenetre;1637182996637146;9057;14
fenetre;1637182996637318;9103;15
fenetre;1637182996637397;9134;16
fenetre;1637182996637514;9192;17
fenetre;1637182996637544;9221;18
fenetre;1637182996637717;9274;19
fenetre;1637182996637778;9304;20
fenetre;1637182996637832;9336;21
fenetre;1637182996637871;9360;22
fenetre;1637182996637921;9383;23
fenetre;1637182996638011;9415;24
fenetre;1637182996638025;9430;25
fenetre;1637182996638033;9437;26
fenetre;1637182996638095;9460;27
timeout;1637182997642795;9491;0
fenetre;1637182997643119;9814;13
fenetre;1637182997643486;9864;14
fenetre;1637182997643602;9917;15
fenetre;1637182997643627;9941;16
fenetre;1637182997643728;9974;17
fenetre;1637182997643822;10027;18
fenetre;1637182997643870;10065;19
fenetre;1637182997644004;10089;20
fenetre;1637182997644030;10107;21
fenetre;1637182997644088;10124;22
fenetre;1637182997644120;10146;23
timeout;1637182998647563;10177;0
fenetre;1637182998647844;10457;11
fenetre;1637182998648162;10495;12
fenetre;1637182998648229;10527;13
fenetre;1637182998648398;10577;14
fenetre;1637182998648424;10601;15
fenetre;1637182998648570;10657;16
fenetre;1637182998648586;10673;17
fenetre;1637182998648640;10708;18
fenetre;1637182998648655;10723;19
fenetre;1637182998648688;10738;20
fenetre;1637182998648718;10758;21
timeout;1637182999651912;10776;0
fenetre;1637182999652132;10985;10
fenetre;1637182999652184;11007;11
fenetre;1637182999652208;11019;12
fenetre;1637182999652273;11035;13
fenetre;1637182999652283;11043;14
fenetre;1637182999652352;11056;15
fenetre;1637182999652394;11072;16
fenetre;1637182999652479;11092;17
fenetre;1637182999652530;11108;18
fenetre;1637182999652562;11122;19
fenetre;1637182999652845;11339;20
fenetre;1637182999652855;11349;21
fenetre;1637182999652859;11354;22
timeout;1637183000654100;11376;0
fenetre;1637183000654607;11833;11
fenetre;1637183000654738;11869;12
fenetre;1637183000654849;11904;13
fenetre;1637183000654869;11924;14
fenetre;1637183000654896;11944;15
fenetre;1637183000655090;11972;16
fenetre;1637183000655246;12001;17
fenetre;1637183000655325;12026;18
fenetre;1637183000655423;12049;19
fenetre;1637183000655435;12060;20
fenetre;1637183000655444;12069;21
fenetre;1637183000655671;12264;22
timeout;1637183001657053;12297;0
fenetre;1637183001657245;12489;11
timeout;1637183002658849;12519;0
fenetre;1637183002659052;12721;5
fenetre;1637183002659531;12762;6
fenetre;1637183002659802;12823;7
