type;temps;clock;fen
debut;1637183200066298;1408;0
fenetre;1637183200067073;1496;1
fenetre;1637183200067219;1526;2
fenetre;1637183200067389;1537;3
fenetre;1637183200067415;1563;4
fenetre;1637183200067574;1579;5
fenetre;1637183200067608;1613;6
fenetre;1637183200067612;1616;7
fenetre;1637183200067734;1724;8
fenetre;1637183200068030;1748;9
fenetre;1637183200068066;1785;10
fenetre;1637183200068083;1802;11
fenetre;1637183200068088;1807;12
timeout;1637183201073141;1844;0
fenetre;1637183201073348;2051;6
fenetre;1637183201073661;2081;7
fenetre;1637183201073713;2122;8
fenetre;1637183201073730;2139;9
fenetre;1637183201073793;2176;10
fenetre;1637183201073809;2192;11
fenetre;1637183201074022;2401;12
fenetre;1637183201074207;2427;13
fenetre;1637183201074253;2445;14
fenetre;1637183201074321;2477;15
fenetre;1637183201074366;2504;16
fenetre;1637183201074505;2533;17
fenetre;1637183201074518;2548;18
fenetre;1637183201074561;2578;19
fenetre;1637183201074575;2592;20
fenetre;1637183201074668;2610;21
timeout;1637183202078743;2637;0
fenetre;1637183202079012;2905;10
fenetre;1637183202079390;2953;11
fenetre;1637183202079484;3005;12
fenetre;1637183202079509;3030;13
fenetre;1637183202079604;3079;14
fenetre;1637183202079813;3120;15
fenetre;1637183202079872;3154;16
fenetre;1637183202079889;3171;17
fenetre;1637183202079998;3195;18
fenetre;1637183202080012;3208;19
fenetre;1637183202080223;3420;20
fenetre;1637183202080403;3447;21
timeout;1637183203082513;3476;0
fenetre;1637183203082772;3734;10
fenetre;1637183203083138;3785;11
fenetre;1637183203083191;3829;12
fenetre;1637183203083268;3856;13
fenetre;1637183203083321;3887;14
fenetre;1637183203083435;3944;15
fenetre;1637183203083527;4007;16
fenetre;1637183203083546;4026;17
fenetre;1637183203083607;4059;18
fenetre;1637183203083644;4082;19
fenetre;1637183203083881;4319;20
fenetre;1637183203083988;4348;21
fenetre;1637183203084002;4362;22
fenetre;1637183203084036;4376;23
fenetre;1637183203084074;4389;24
timeout;1637183204086897;4417;0
fenetre;1637183204087222;4740;12
fenetre;1637183204087547;4783;13
fenetre;1637183204087571;4807;14
fenetre;1637183204087661;4859;15
fenetre;1637183204087722;4892;16
fenetre;1637183204087837;4926;17
fenetre;1637183204087917;4978;18
fenetre;1637183204088026;5027;19
fenetre;1637183204088109;5057;20
fenetre;1637183204088221;5086;21
fenetre;1637183204088235;5100;22
fenetre;1637183204088244;5109;23
fenetre;1637183204088540;5368;24
timeout;1637183205093444;5399;0
fenetre;1637183205093802;5757;12
fenetre;1637183205094070;5810;13
fenetre;1637183205094146;5859;14
fenetre;1637183205094305;5929;15
fenetre;1637183205094330;5954;16
fenetre;1637183205094473;6022;17
fenetre;1637183205094489;6037;18
fenetre;1637183205094541;6052;19
fenetre;1637183205094574;6072;20
fenetre;1637183205094602;6090;21
fenetre;1637183205094622;6102;22
fenetre;1637183205094667;6120;23
timeout;1637183206099109;6144;0
fenetre;1637183206099412;6434;11
fenetre;1637183206099668;6476;12
fenetre;1637183206099716;6499;13
fenetre;1637183206099776;6529;14
fenetre;1637183206099868;6564;15
fenetre;1637183206099949;6601;16
fenetre;1637183206100099;6652;17
fenetre;1637183206100231;6680;18
fenetre;1637183206100338;6714;19
fenetre;1637183206100356;6732;20
fenetre;1637183206100460;6767;21
fenetre;1637183206100781;7081;22
fenetre;1637183206100797;7096;23
fenetre;1637183206100815;7109;24
fenetre;1637183206100824;7118;25
fenetre;1637183206100977;7143;26
timeout;1637183207105287;7163;0
fenetre;1637183207105409;7285;13
fenetre;1637183207105567;7301;14
fenetre;1637183207105597;7313;15
fenetre;1637183207105623;7330;16
fenetre;1637183207105651;7347;17
fenetre;1637183207105668;7359;18
fenetre;1637183207105707;7371;19
fenetre;1637183207105730;7384;20
fenetre;1637183207105755;7400;21
fenetre;1637183207105764;7408;22
fenetre;1637183207105784;7421;23
fenetre;1637183207105791;7428;24
fenetre;1637183207105826;7437;25
fenetre;1637183207105978;7590;26
timeout;1637183208109788;7611;0
fenetre;1637183208110081;7904;13
fenetre;1637183208110366;7954;14
fenetre;1637183208110390;7977;15
fenetre;1637183208110517;8007;16
fenetre;1637183208110650;8058;17
fenetre;1637183208110731;8093;18
fenetre;1637183208110892;8255;19
fenetre;1637183208110900;8263;20
fenetre;1637183208110983;8290;21
fenetre;1637183208110998;8304;22
fenetre;1637183208111032;8324;23
fenetre;1637183208111157;8352;24
fenetre;1637183208111171;8366;25
timeout;1637183209114501;8392;0
