type;temps;clock;fen
debut;1637182884887756;1904;0
fenetre;1637182884888568;2032;1
fenetre;1637182884888770;2066;2
fenetre;1637182884888916;2080;3
fenetre;1637182884888965;2119;4
fenetre;1637182884889076;2130;5
fenetre;1637182884889102;2142;6
fenetre;1637182884889131;2156;7
fenetre;1637182884889205;2223;8
fenetre;1637182884889290;2233;9
fenetre;1637182884889329;2253;10
fenetre;1637182884889373;2269;11
fenetre;1637182884889412;2287;12
fenetre;1637182884889441;2305;13
fenetre;1637182884889460;2321;14
fenetre;1637182884889476;2331;15
fenetre;1637182884889598;2445;16
timeout;1637182885892854;2468;0
fenetre;1637182885893092;2705;8
fenetre;1637182885893487;2733;9
fenetre;1637182885893503;2750;10
fenetre;1637182885893579;2772;11
fenetre;1637182885893594;2786;12
fenetre;1637182885893657;2817;13
fenetre;1637182885893705;2856;14
fenetre;1637182885893716;2867;15
fenetre;1637182885893928;3080;16
fenetre;1637182885894127;3101;17
fenetre;1637182885894140;3115;18
timeout;1637182886897810;3143;0
fenetre;1637182886898071;3404;9
fenetre;1637182886898551;3453;10
fenetre;1637182886898615;3506;11
fenetre;1637182886898640;3531;12
fenetre;1637182886898767;3572;13
fenetre;1637182886898829;3629;14
fenetre;1637182886898865;3658;15
fenetre;1637182886898879;3672;16
fenetre;1637182886898905;3688;17
fenetre;1637182886899122;3895;18
fenetre;1637182886899225;3926;19
fenetre;1637182886899265;3955;20
fenetre;1637182886899315;3986;21
timeout;1637182887902340;4004;0
fenetre;1637182887902450;4114;10
fenetre;1637182887902725;4130;11
fenetre;1637182887902734;4139;12
fenetre;1637182887902738;4143;13
fenetre;1637182887902770;4158;14
fenetre;1637182887902785;4174;15
fenetre;1637182887902793;4182;16
fenetre;1637182887902799;4186;17
fenetre;1637182887902829;4198;18
fenetre;1637182887902865;4220;19
fenetre;1637182887903030;4385;20
fenetre;1637182887903086;4397;21
timeout;1637182888907817;4421;0
fenetre;1637182888908049;4652;10
fenetre;1637182888908462;4688;11
fenetre;1637182888908555;4734;12
fenetre;1637182888908584;4762;13
fenetre;1637182888908722;4808;14
fenetre;1637182888908785;4861;15
fenetre;1637182888908864;4940;16
fenetre;1637182888908877;4952;17
fenetre;1637182888908884;4960;18
fenetre;1637182888909006;4999;19
fenetre;1637182888909236;5229;20
fenetre;1637182888909437;5255;21
fenetre;1637182888909451;5268;22
fenetre;1637182888909458;5275;23
fenetre;1637182888909497;5292;24
fenetre;1637182888909525;5309;25
timeout;1637182889910792;5359;0
fenetre;1637182889910956;5523;12
fenetre;1637182889911122;5551;13
fenetre;1637182889911155;5571;14
fenetre;1637182889911176;5583;15
fenetre;1637182889911225;5606;16
fenetre;1637182889911271;5628;17
fenetre;1637182889911284;5642;18
fenetre;1637182889911347;5660;19
fenetre;1637182889911384;5679;20
fenetre;1637182889911426;5701;21
fenetre;1637182889911438;5712;22
fenetre;1637182889911512;5727;23
fenetre;1637182889911734;5942;24
fenetre;1637182889911763;5958;25
timeout;1637182890914033;5984;0
fenetre;1637182890914312;6263;12
fenetre;1637182890914673;6297;13
fenetre;1637182890914834;6354;14
fenetre;1637182890914858;6378;15
fenetre;1637182890914916;6417;16
fenetre;1637182890915014;6469;17
fenetre;1637182890915117;6516;18
fenetre;1637182890915180;6560;19
fenetre;1637182890915275;6605;20
fenetre;1637182890915289;6619;21
fenetre;1637182890915381;6638;22
timeout;1637182891920465;6667;0
fenetre;1637182891920727;6928;11
fenetre;1637182891921060;6964;12
fenetre;1637182891921139;7019;13
fenetre;1637182891921205;7072;14
fenetre;1637182891921345;7130;15
fenetre;1637182891921533;7175;16
fenetre;1637182891921551;7192;17
fenetre;1637182891921634;7222;18
fenetre;1637182891921668;7247;19
fenetre;1637182891921741;7266;20
fenetre;1637182891921752;7277;21
timeout;1637182892922746;7303;0
fenetre;1637182892923000;7555;10
fenetre;1637182892923341;7605;11
fenetre;1637182892923366;7630;12
fenetre;1637182892923464;7658;13
fenetre;1637182892923590;7707;14
fenetre;1637182892923787;7753;15
fenetre;1637182892923882;7796;16
fenetre;1637182892923973;7861;17
fenetre;1637182892924066;7894;18
fenetre;1637182892924098;7922;19
fenetre;1637182892924326;8141;20
timeout;1637182893926412;8173;0
fenetre;1637182893926844;8604;10
fenetre;1637182893927260;8645;11
fenetre;1637182893927318;8686;12
fenetre;1637182893927383;8734;13
fenetre;1637182893927397;8748;14
fenetre;1637182893927477;8789;15
fenetre;1637182893927500;8811;16
fenetre;1637182893927544;8827;17
fenetre;1637182893927582;8855;18
fenetre;1637182893927625;8884;19
fenetre;1637182893927835;9095;20
timeout;1637182894932553;9132;0
fenetre;1637182894932799;9375;10
fenetre;1637182894933302;9416;11
fenetre;1637182894933328;9443;12
fenetre;1637182894933397;9465;13
fenetre;1637182894933505;9501;14
fenetre;1637182894933774;9563;15
fenetre;1637182894933789;9578;16
fenetre;1637182894933826;9601;17
fenetre;1637182894933858;9619;18
fenetre;1637182894933894;9650;19
fenetre;1637182894934121;9877;20
fenetre;1637182894934329;9895;21
timeout;1637182895939434;9929;0
fenetre;1637182895939679;10173;10
fenetre;1637182895940025;10224;11
fenetre;1637182895940077;10263;12
fenetre;1637182895940179;10295;13
fenetre;1637182895940342;10350;14
fenetre;1637182895940367;10374;15
fenetre;1637182895940435;10422;16
fenetre;1637182895940452;10439;17
fenetre;1637182895940538;10459;18
fenetre;1637182895940549;10471;19
fenetre;1637182895940849;10695;20
fenetre;1637182895940931;10723;21
fenetre;1637182895940959;10742;22
timeout;1637182896944147;10771;0
fenetre;1637182896944423;11046;11
fenetre;1637182896944721;11097;12
fenetre;1637182896944814;11148;13
fenetre;1637182896944874;11200;14
fenetre;1637182896944956;11259;15
fenetre;1637182896945038;11317;16
fenetre;1637182896945140;11361;17
fenetre;1637182896945178;11399;18
fenetre;1637182896945241;11416;19
fenetre;1637182896945276;11437;20
fenetre;1637182896945322;11472;21
fenetre;1637182896945610;11719;22
timeout;1637182897950668;11750;0
fenetre;1637182897950930;12011;11
fenetre;1637182897951299;12059;12
fenetre;1637182897951420;12112;13
fenetre;1637182897951528;12167;14
fenetre;1637182897951557;12195;15
fenetre;1637182897951637;12222;16
fenetre;1637182897951712;12248;17
fenetre;1637182897951843;12280;18
fenetre;1637182897951878;12303;19
fenetre;1637182897951902;12322;20
fenetre;1637182897951931;12341;21
fenetre;1637182897952229;12610;22
fenetre;1637182897952278;12640;23
fenetre;1637182897952384;12667;24
fenetre;1637182897952398;12680;25
fenetre;1637182897952439;12699;26
fenetre;1637182897952470;12717;27
fenetre;1637182897952537;12742;28
fenetre;1637182897952552;12757;29
timeout;1637182898957570;12785;0
fenetre;1637182898957892;13106;14
fenetre;1637182898958208;13152;15
fenetre;1637182898958268;13186;16
fenetre;1637182898958441;13233;17
fenetre;1637182898958466;13258;18
fenetre;1637182898958605;13313;19
fenetre;1637182898958732;13370;20
fenetre;1637182898958785;13397;21
fenetre;1637182898958833;13415;22
fenetre;1637182898958900;13439;23
fenetre;1637182898958932;13463;24
timeout;1637182899962495;13491;0
fenetre;1637182899962780;13775;12
fenetre;1637182899963079;13831;13
fenetre;1637182899963131;13872;14
fenetre;1637182899963211;13901;15
fenetre;1637182899963277;13948;16
fenetre;1637182899963350;13984;17
fenetre;1637182899963436;14046;18
fenetre;1637182899963550;14089;19
fenetre;1637182899963624;14134;20
fenetre;1637182899963708;14168;21
fenetre;1637182899963722;14182;22
fenetre;1637182899963772;14199;23
timeout;1637182900967098;14230;0
fenetre;1637182900967402;14532;11
fenetre;1637182900967711;14581;12
fenetre;1637182900967737;14608;13
fenetre;1637182900967910;14637;14
fenetre;1637182900967925;14652;15
