type;temps;clock;fen
debut;1637183293033457;1825;0
fenetre;1637183293034344;1937;1
fenetre;1637183293034533;1968;2
fenetre;1637183293034765;1987;3
fenetre;1637183293034808;2031;4
fenetre;1637183293034995;2043;5
fenetre;1637183293035025;2065;6
fenetre;1637183293035035;2074;7
fenetre;1637183293035113;2139;8
fenetre;1637183293035236;2151;9
timeout;1637183294036469;2177;0
fenetre;1637183294036641;2349;4
fenetre;1637183294037022;2384;5
fenetre;1637183294037101;2432;6
fenetre;1637183294037180;2479;7
fenetre;1637183294037375;2674;8
fenetre;1637183294037831;2725;9
fenetre;1637183294037898;2770;10
fenetre;1637183294037970;2819;11
fenetre;1637183294038052;2865;12
fenetre;1637183294038074;2887;13
fenetre;1637183294038136;2922;14
fenetre;1637183294038218;2966;15
fenetre;1637183294038480;3229;16
fenetre;1637183294038629;3255;17
fenetre;1637183294038682;3287;18
fenetre;1637183294038725;3319;19
timeout;1637183295041173;3354;0
fenetre;1637183295041396;3575;9
fenetre;1637183295041843;3625;10
fenetre;1637183295041868;3650;11
fenetre;1637183295042076;3707;12
fenetre;1637183295042163;3775;13
fenetre;1637183295042187;3798;14
fenetre;1637183295042199;3810;15
fenetre;1637183295042225;3836;16
fenetre;1637183295042267;3851;17
fenetre;1637183295042476;4060;18
fenetre;1637183295042597;4085;19
timeout;1637183296047720;4135;0
fenetre;1637183296047983;4398;9
fenetre;1637183296048312;4436;10
fenetre;1637183296048412;4502;11
fenetre;1637183296048487;4541;12
fenetre;1637183296048625;4590;13
fenetre;1637183296048799;4625;14
fenetre;1637183296048915;4654;15
fenetre;1637183296048953;4680;16
fenetre;1637183296048968;4693;17
fenetre;1637183296049222;4910;18
fenetre;1637183296049357;4934;19
fenetre;1637183296049391;4952;20
fenetre;1637183296049435;4976;21
fenetre;1637183296049492;5006;22
fenetre;1637183296049511;5023;23
timeout;1637183297053051;5044;0
fenetre;1637183297053332;5324;11
timeout;1637183298058057;5355;0
fenetre;1637183298058282;5579;5
fenetre;1637183298058724;5617;6
fenetre;1637183298058796;5660;7
fenetre;1637183298058818;5683;8
fenetre;1637183298058886;5721;9
fenetre;1637183298059140;5974;10
fenetre;1637183298059422;6008;11
fenetre;1637183298059436;6021;12
fenetre;1637183298059490;6045;13
fenetre;1637183298059534;6063;14
fenetre;1637183298059600;6098;15
fenetre;1637183298059614;6112;16
timeout;1637183299060899;6140;0
fenetre;1637183299061125;6364;8
fenetre;1637183299061497;6408;9
fenetre;1637183299061572;6450;10
fenetre;1637183299061640;6481;11
fenetre;1637183299061698;6505;12
fenetre;1637183299061946;6554;13
fenetre;1637183299061978;6580;14
fenetre;1637183299061987;6590;15
fenetre;1637183299062184;6768;16
fenetre;1637183299062389;6794;17
fenetre;1637183299062437;6824;18
fenetre;1637183299062466;6842;19
timeout;1637183300065507;6859;0
fenetre;1637183300065756;7097;9
fenetre;1637183300065792;7116;10
fenetre;1637183300065823;7130;11
fenetre;1637183300065869;7164;12
fenetre;1637183300065887;7174;13
fenetre;1637183300065912;7190;14
fenetre;1637183300065977;7223;15
fenetre;1637183300065985;7231;16
fenetre;1637183300066025;7259;17
fenetre;1637183300066308;7525;18
fenetre;1637183300066316;7532;19
timeout;1637183301069594;7558;0
fenetre;1637183301069849;7811;9
fenetre;1637183301070185;7861;10
fenetre;1637183301070267;7897;11
fenetre;1637183301070335;7942;12
fenetre;1637183301070427;7984;13
fenetre;1637183301070491;8017;14
fenetre;1637183301070619;8070;15
fenetre;1637183301070643;8093;16
fenetre;1637183301070732;8138;17
fenetre;1637183301071055;8461;18
fenetre;1637183301071304;8504;19
fenetre;1637183301071325;8525;20
timeout;1637183302076284;8551;0
fenetre;1637183302076532;8798;10
fenetre;1637183302076962;8847;11
fenetre;1637183302077103;8900;12
fenetre;1637183302077137;8933;13
fenetre;1637183302077242;8978;14
fenetre;1637183302077349;9027;15
fenetre;1637183302077397;9053;16
fenetre;1637183302077461;9084;17
fenetre;1637183302077475;9098;18
fenetre;1637183302077499;9111;19
fenetre;1637183302077742;9340;20
fenetre;1637183302077840;9359;21
fenetre;1637183302077898;9392;22
fenetre;1637183302077933;9423;23
timeout;1637183303082917;9456;0
fenetre;1637183303083192;9730;11
fenetre;1637183303083529;9940;12
fenetre;1637183303083613;9991;13
fenetre;1637183303083761;10053;14
fenetre;1637183303083785;10075;15
fenetre;1637183303083841;10113;16
fenetre;1637183303083940;10162;17
fenetre;1637183303084008;10201;18
fenetre;1637183303084099;10268;19
fenetre;1637183303084113;10281;20
fenetre;1637183303084147;10299;21
timeout;1637183304087553;10328;0
fenetre;1637183304087810;10584;10
fenetre;1637183304088109;10634;11
fenetre;1637183304088175;10685;12
fenetre;1637183304088252;10724;13
fenetre;1637183304088314;10759;14
fenetre;1637183304088514;10844;15
fenetre;1637183304088546;10874;16
fenetre;1637183304088650;10903;17
fenetre;1637183304088678;10926;18
fenetre;1637183304088768;10950;19
fenetre;1637183304089017;11189;20
fenetre;1637183304089068;11210;21
fenetre;1637183304089109;11242;22
timeout;1637183305094215;11276;0
fenetre;1637183305094487;11547;11
fenetre;1637183305094729;11583;12
fenetre;1637183305094875;11633;13
fenetre;1637183305094938;11673;14
fenetre;1637183305094955;11690;15
fenetre;1637183305095136;11729;16
fenetre;1637183305095159;11751;17
fenetre;1637183305095263;11782;18
fenetre;1637183305095434;11813;19
fenetre;1637183305095473;11847;20
fenetre;1637183305095487;11861;21
fenetre;1637183305095746;12104;22
fenetre;1637183305095882;12125;23
timeout;1637183306100699;12159;0
fenetre;1637183306100986;12446;11
fenetre;1637183306101219;12482;12
fenetre;1637183306101324;12531;13
fenetre;1637183306101434;12582;14
fenetre;1637183306101569;12639;15
fenetre;1637183306101593;12663;16
fenetre;1637183306101724;12713;17
fenetre;1637183306101747;12735;18
fenetre;1637183306101857;12786;19
fenetre;1637183306101894;12821;20
fenetre;1637183306101922;12834;21
fenetre;1637183306102175;13077;22
timeout;1637183307105710;13106;0
fenetre;1637183307105988;13383;11
fenetre;1637183307106307;13433;12
fenetre;1637183307106399;13485;13
fenetre;1637183307106429;13514;14
fenetre;1637183307106626;13587;15
fenetre;1637183307106653;13613;16
fenetre;1637183307106733;13662;17
fenetre;1637183307106913;13707;18
fenetre;1637183307106928;13721;19
fenetre;1637183307106969;13745;20
fenetre;1637183307106982;13759;21
timeout;1637183308110904;13785;0
fenetre;1637183308111155;14035;10
fenetre;1637183308111551;14087;11
fenetre;1637183308111598;14124;12
fenetre;1637183308111678;14154;13
fenetre;1637183308111834;14207;14
fenetre;1637183308112002;14254;15
fenetre;1637183308112018;14269;16
fenetre;1637183308112059;14288;17
fenetre;1637183308112105;14322;18
fenetre;1637183308112122;14339;19
fenetre;1637183308112361;14554;20
fenetre;1637183308112463;14581;21
fenetre;1637183308112530;14610;22
fenetre;1637183308112546;14626;23
fenetre;1637183308112624;14654;24
fenetre;1637183308112638;14666;25
fenetre;1637183308112689;14693;26
timeout;1637183309117692;14727;0
fenetre;1637183309118000;15034;13
fenetre;1637183309118323;15109;14
fenetre;1637183309118355;15139;15
fenetre;1637183309118367;15152;16
fenetre;1637183309118552;15198;17
fenetre;1637183309118577;15223;18
fenetre;1637183309118665;15264;19
fenetre;1637183309118914;15320;20
fenetre;1637183309118928;15334;21
fenetre;1637183309118949;15347;22
fenetre;1637183309119016;15370;23
timeout;1637183310123902;15402;0
fenetre;1637183310124170;15669;11
fenetre;1637183310124450;15703;12
fenetre;1637183310124604;15758;13
fenetre;1637183310124627;15781;14
fenetre;1637183310124720;15825;15
fenetre;1637183310124801;15867;16
fenetre;1637183310124879;15909;17
fenetre;1637183310124958;15966;18
fenetre;1637183310125019;16000;19
fenetre;1637183310125113;16038;20
